exp_name,sample,accession,lane,organism
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331051,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331050,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331048,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S52,SRX15390658,SRR19331044,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S52,SRX15390658,SRR19331043,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S52,SRX15390658,SRR19331047,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S52,SRX15390658,SRR19331046,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331035,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331037,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331036,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331038,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S83,SRX15390675,SRR19331027,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S83,SRX15390675,SRR19331029,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S83,SRX15390675,SRR19331026,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S83,SRX15390675,SRR19331030,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S59,SRX15390680,SRR19331025,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S59,SRX15390680,SRR19331024,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_35_S59,SRX15390680,SRR19331023,L002,Homo sapiens
